item_seq,item_name,ingr_code,ingr_name_ko,ingr_name_en,atc_code,synonyms,성상,의약품제형,색상앞,표시앞,표시뒤,severity_class,label_section,dili_status
195900043,아네모정,M099577,스코폴리아엑스10배산,Dried Aluminium Hydroxide Gel/Sodium Bicarbonate/Precipitated Calcium Carbonate/Magnesium Carbonate/Scopolia Extract Powder 10%,A02AH,"[""침강탄산칼슘"", ""탄산수소나트륨"", ""탄산마그네슘"", ""건조수산화알루미늄겔""]",백색의원형필름제피정,원형,하양,SJΛ,-,0.0,No match,vNo-DILI-concern
196000001,테라싸이클린캅셀250밀리그람(염산테트라싸이클린),M223235,테트라사이클린염산염,Tetracycline Hydrochloride,J01AA07,[],황색의결정또는결정성가루가들어있는상부는갈색|하부는담회색의캅셀이다.,장방형,갈색,CKD250,-,,No Match,vNo-Data
196000008,다이크로짇정(히드로클로로티아지드),M223356,히드로클로로티아지드,Hydrochlorothiazide,C03AA03,[],등황색의원형정제임,원형,주황,Y분할선H,-,2.0,Adverse reactions,vLess-DILI-concern
196000011,페니라민정(클로르페니라민말레산염),M223211,클로르페니라민말레산염,Chlorpheniramine Maleate,R06AB04,[],미황색의원형정제,원형,노랑,YH,-,0.0,No match,vNo-DILI-concern
196200032,유한짓정100mg(이소니아지드)(군납명:이소니아지드정케이.피100밀리그람),M223170,이소니아지드,Isoniazid,J04AC01,[],백색원형의정제,원형,하양,Y분할선H,-,8.0,Box warning,vMost-DILI-concern
196200034,삐콤정,M234001,아스코르브산과립97%,Thiamine Hydrochloride/Riboflavin/Pyridoxine Hydrochloride/Nicotinamide/Calcium Pantothenate/Cyanocobalamin Powder 1%/Ascorbic Acid Granules 97%,A11EB,"[""시아노코발라민100배산"", ""리보플라빈"", ""티아민염산염"", ""판토텐산칼슘"", ""니코틴산아미드"", ""피리독신염산염""]",적갈색의원형필름코팅정,원형,갈색,YH,B,0.0,No match,vNo-DILI-concern
196300001,디고신정(디곡신),M040091,디곡신,Digoxin,C01AA05,[],흰색의원형정제이다.,원형,하양,십자분할선,DG,0.0,No match,vNo-DILI-concern
196300043,덱사코티실정(덱사메타손),M040080,덱사메타손,Dexamethasone,,[],흰색의원형정제,원형,하양,YJPDEXACOTSIL,0.75,3.0,Adverse reactions,Ambiguous-DILI-concern
196300064,부광덱사메타손정,M040080,덱사메타손,Dexamethasone,H02AB02,[],백색의정제,원형,하양,75,분할선,3.0,Adverse reactions,Ambiguous-DILI-concern
196400037,라식스정(푸로세미드),M040715,푸로세미드,Furosemide,C03CA01,[],백색원형정제임.,원형,하양,DLI분할선DLI,-,2.0,Adverse reactions,Ambiguous-DILI-concern
196400046,게루삼정,M207094,탄산수소나트륨,Dried Aluminium Hydroxide Gel/Precipitated Calcium Carbonate/Magnesium Carbonate/Sodium Bicarbonate,A02AH,"[""건조수산화알루미늄 겔"", ""침강탄산칼슘"", ""탄산마그네슘""]",흰색의원형정제,원형,하양,G,G,0.0,No match,vNo-DILI-concern
196400099,크로세린캡슐250밀리그램(시클로세린)(수출명 : Dong-A Cycloserine 250mg),M020076,시클로세린,Cycloserine,J04AB01,[],상은핑크색|하는백색인캅셀,장방형,분홍,DACS,-,3.0,Warnings & precautions,Ambiguous-DILI-concern
196500004,후라시닐정(메트로니다졸),M040170,메트로니다졸,Metronidazole,P01AB01,[],흰색의원형정제,원형,하양,FLA분할선,-,3.0,No match,vLess-DILI-concern
196500051,지엘타이밍정(카페인무수물),M223183,카페인무수물,Anhydrous Caffeine,N06BC01,[],노란색의팔각형정제,팔각형,노랑,마크,T1E,,No Match,vNo-Data
196600011,베스타제정,M260530,셀룰라제AP3,Biodiastase 500/Lipase AP6/Cellulase AP3,A09AA02,"[""리파제AP6"", ""비오디아스타제500""]",담등-적갈색정제,원형,주황,BESTASE,-,,No Match,vNo-Data
196600012,베스타제당의정,M260530,셀룰라제AP3,Biodiastase 500/Lipase AP6/Cellulase AP3,A09AA02,"[""리파제AP6"", ""비오디아스타제500""]",분홍색의원형당의정이다.,원형,분홍,BSS,-,,No Match,vNo-Data
196700060,마이암부톨제피정400밀리그램(에탐부톨염산염),M223143,에탐부톨염산염,Ethambutol Hydrochloride,J04AK02,[],황색의원형필름코팅정제,원형,노랑,YH,MB,8.0,Warnings & precautions,vMost-DILI-concern
197000005,앰씰린캡슐250밀리그램(암피실린수화물),M239219,암피실린수화물,Ampicillin Hydrate,,[],백색또는황백색의결정성가루가들어있는상의는홍색|하의는흐린보라색의캡슐제,장방형,빨강,CKD250,-,,No Match,vNo-Data
197000037,아로나민골드정,M255819,토코페롤아세테이트 2배산,Fursultiamine/Riboflavin Butyrate/Pyridoxal Phosphate Hydrate/Hydroxocobalamin Acetate/Ascorbic Acid/Tocopherol Acetate Powder 50%,A11JA,"[""푸르설티아민"", ""피리독살포스페이트수화물"", ""아스코르브산"", ""리보플라빈부티레이트"", ""히드록소코발라민아세트산염""]",1.내수용:이약은적색의필름코팅정이다.2.수출용:이약은빨간색의필름코팅정이다.,타원형,빨강,Aro-G,Aro-G,3.0,Adverse reactions,Ambiguous-DILI-concern
